District,State,Area_km2,Population
Dimapur,Nagaland,927,"3,78,811"
Dindigul,Tamil Nadu,"6,036","21,59,775"
Dindori,Madhya Pradesh,"7,470","7,04,524"
Diu,Daman and Diu,39,"52,074"
Doda,Jammu and Kashmir,"8,912","4,09,936"
Dumka,Jharkhand,"3,761","13,21,442"
Dungarpur,Rajasthan,"3,770","13,88,552"
Durg,Chhattisgarh,"8,535","33,43,872"
East,#N/A,63,"17,09,346"
East District,#N/A,954,"2,83,583"
East Garo Hills,Meghalaya,"2,603","3,17,917"
East Godavari,Andhra Pradesh,"10,807","51,54,296"
East Kameng,Arunachal Pradesh,"4,134","78,690"
East Khasi Hills,Meghalaya,"2,748","8,25,922"
East Siang,Arunachal Pradesh,"3,603","99,214"
Ernakulam,Kerala,"3,063","32,82,388"
Erode,Tamil Nadu,"5,760","22,51,744"
Etah,Uttar Pradesh,"2,431","17,74,480"
Etawah,Uttar Pradesh,"2,311","15,81,810"
Faizabad,Uttar Pradesh,"2,341","24,70,996"
Faridabad,Haryana,741,"18,09,733"
Faridkot,Punjab,"1,458","6,17,508"
Farrukhabad,Uttar Pradesh,"2,181","18,85,204"
Fatehabad,Haryana,"2,538","9,42,011"
Fatehgarh Sahib,Punjab,"1,180","6,00,163"
Fatehpur,Uttar Pradesh,"4,152","26,32,733"
Firozabad,Uttar Pradesh,"2,407","24,98,156"
Firozpur,Punjab,"5,305","20,29,074"
Gadag,Karnataka,"4,657","10,64,570"
Gadchiroli,Maharashtra,"14,412","10,72,942"
Gajapati,Orissa,"4,325","5,77,817"
Ganderbal,Jammu and Kashmir,259,"2,97,446"
Gandhinagar,Gujarat,"2,140","13,91,753"
Ganganagar,Rajasthan,"10,978","19,69,168"
Ganjam,Orissa,"8,206","35,29,031"
Garhwa,Jharkhand,"4,093","13,22,784"
Garhwal,#N/A,"5,329","6,87,271"
Gautam Buddha Nagar,Uttar Pradesh,"1,282","16,48,115"
Gaya,Bihar,"4,976","43,91,418"
Ghaziabad,Uttar Pradesh,"1,179","46,81,645"
Ghazipur,Uttar Pradesh,"3,377","36,20,268"
Giridih,Jharkhand,"4,962","24,45,474"
Goalpara,Assam,"1,824","10,08,183"
Godda,Jharkhand,"2,266","13,13,551"
Golaghat,Assam,"3,502","10,66,888"
Gonda,Uttar Pradesh,"4,003","34,33,919"
Gondiya,Maharashtra,"5,234","13,22,507"
Gopalganj,Bihar,"2,033","25,62,012"
Gorakhpur,Uttar Pradesh,"3,321","44,40,895"
Gulbarga,Karnataka,"10,954","25,66,326"
Gumla,Jharkhand,"5,360","10,25,213"
Guna,Madhya Pradesh,"6,390","12,41,519"
Guntur,Andhra Pradesh,"11,391","48,87,813"
Gurdaspur,Punjab,"3,551","22,98,323"
Gurgaon,Haryana,"1,258","15,14,432"
Gwalior,Madhya Pradesh,"4,560","20,32,036"
Hailakandi,Assam,"1,327","6,59,296"
Hamirpur,Uttar Pradesh,"1,118","4,54,768"
Hamirpur,Uttar Pradesh,"4,021","11,04,285"
Hanumangarh,Rajasthan,"9,656","17,74,692"
Haora,West Bengal,"1,467","48,50,029"
Harda,Madhya Pradesh,"3,334","5,70,465"
Hardoi,Uttar Pradesh,"5,986","40,92,845"
Hardwar,#N/A,"2,360","18,90,422"
Hassan,Karnataka,"6,814","17,76,421"
Haveri,Karnataka,"4,823","15,97,668"
Hazaribagh,Jharkhand,"3,555","17,34,495"
Hingoli,Maharashtra,"4,827","11,77,345"
Hisar,Haryana,"3,983","17,43,931"
Hoshangabad,Madhya Pradesh,"6,703","12,41,350"
Hoshiarpur,Punjab,"3,386","15,86,625"
Hugli,West Bengal,"3,149","55,19,145"
Hyderabad,Andhra Pradesh,217,"39,43,323"
Idukki,Kerala,"4,356","11,08,974"
Imphal East,Manipur,709,"4,56,113"
Imphal West,Manipur,519,"5,17,992"
Indore,Madhya Pradesh,"3,898","32,76,697"
Jabalpur,Madhya Pradesh,"5,211","24,63,289"
Jagatsinghapur,Orissa,"1,668","11,36,971"
Jaintia Hills,Meghalaya,"3,819","3,95,124"
Jaipur,Rajasthan,"11,143","66,26,178"
Jaisalmer,Rajasthan,"38,401","6,69,919"
Jajapur,Orissa,"2,899","18,27,192"
Jalandhar,Punjab,"2,624","21,93,590"
Jalaun,Uttar Pradesh,"4,565","16,89,974"
Jalgaon,Maharashtra,"11,765","42,29,917"
Jalna,Maharashtra,"7,718","19,59,046"
Jalor,Rajasthan,"10,640","18,28,730"
Jalpaiguri,West Bengal,"6,227","38,72,846"
Jammu,Jammu and Kashmir,"2,342","15,29,958"
Jamnagar,Gujarat,"14,184","21,60,119"
Jamtara,Jharkhand,"1,811","7,91,042"
Jamui,Bihar,"3,098","17,60,405"
Janjgir - Champa,#N/A,"3,853","16,19,707"
Jashpur,Chhattisgarh,"5,838","8,51,669"
Jaunpur,Uttar Pradesh,"4,038","44,94,204"
Jehanabad,Bihar,931,"11,25,313"
Jhabua,Madhya Pradesh,"3,600","10,25,048"
Jhajjar,Haryana,"1,834","9,58,405"
Jhalawar,Rajasthan,"6,219","14,11,129"
Jhansi,Uttar Pradesh,"5,024","19,98,603"
Jharsuguda,Orissa,"2,114","5,79,505"
Jhunjhunun,Rajasthan,"5,928","21,37,045"
Jind,Haryana,"2,702","13,34,152"
Jodhpur,Rajasthan,"22,850","36,87,165"
Jorhat,Assam,"2,851","10,92,256"
Junagadh,Gujarat,"8,831","27,43,082"
Jyotiba Phule Nagar,Uttar Pradesh,"2,249","18,40,221"
Kabirdham,Chhattisgarh,"4,235","8,22,526"
Kachchh,Gujarat,"45,674","20,92,371"
Kaimur,Bihar,"3,332","16,26,384"
Kaithal,Haryana,"2,317","10,74,304"
Kalahandi,Orissa,"7,920","15,76,869"
Kamrup,Assam,"3,105","15,17,542"
Kamrup Metropolitan,Assam,955,"12,53,938"
Kancheepuram,Tamil Nadu,"4,483","39,98,252"
Kandhamal,Orissa,"8,021","7,33,110"
Kangra,Himachal Pradesh,"5,739","15,10,075"
Kanker (Uttar Bastar Kanker),#N/A,"7,161","7,48,941"
Kannauj,Uttar Pradesh,"2,093","16,56,616"
Kanniyakumari,Tamil Nadu,"1,684","18,70,374"
Kannur,Kerala,"2,961","25,23,003"
Kanpur Dehat,#N/A,"3,021","17,96,184"
Kanpur Nagar,Uttar Pradesh,"3,155","45,81,268"
Kanshiram Nagar,Uttar Pradesh,"1,955","14,36,719"
Kapurthala,Punjab,"1,633","8,15,168"
Karaikal,Puducherry,157,"2,00,222"
Karauli,Rajasthan,"5,524","14,58,248"
Karbi Anglong,Assam,"10,434","9,56,313"
Kargil,Jammu and Kashmir,"14,036","1,40,802"
Karimganj,Assam,"1,809","12,28,686"
Karimnagar,Andhra Pradesh,"11,823","37,76,269"
Karnal,Haryana,"2,520","15,05,324"
Karur,Tamil Nadu,"2,904","10,64,493"
Kasaragod,Kerala,"1,989","13,07,375"
Kathua,Jammu and Kashmir,"2,502","6,16,435"
Katihar,Bihar,"3,057","30,71,029"
Katni,Madhya Pradesh,"4,950","12,92,042"
Kaushambi,Uttar Pradesh,"1,779","15,99,596"
Kendrapara,Orissa,"2,644","14,40,361"
Kendujhar,Orissa,"8,303","18,01,733"
Khagaria,Bihar,"1,486","16,66,886"
Khammam,Andhra Pradesh,"16,029","27,97,370"
Khandwa,#N/A,"7,352","13,10,061"
Khargone,#N/A,"8,025","18,73,046"
Kheda,Gujarat,"3,953","22,99,885"
Kheri,Uttar Pradesh,"7,680","40,21,243"
Khordha,Orissa,"2,813","22,51,673"
Khunti,Jharkhand,"2,535","5,31,885"
Kinnaur,Himachal Pradesh,"6,401","84,121"
Kiphire,Nagaland,"1,130","74,004"
Kishanganj,Bihar,"1,884","16,90,400"
Kishtwar,Jammu and Kashmir,"1,644","2,30,696"
Koch Bihar,West Bengal,"3,387","28,19,086"
Kodagu,Karnataka,"4,102","5,54,519"
Kodarma,Jharkhand,"2,540","7,16,259"
Kohima,Nagaland,"1,463","2,67,988"
Kokrajhar,Assam,"3,296","8,87,142"
Kolar,Karnataka,"3,979","15,36,401"
Kolasib,Mizoram,"1,382","83,955"
Kolhapur,Maharashtra,"7,685","38,76,001"
Kolkata,West Bengal,185,"44,96,694"
Kollam,Kerala,"2,483","26,35,375"
Koppal,Karnataka,"5,570","13,89,920"
Koraput,Orissa,"8,807","13,79,647"
Korba,Chhattisgarh,"6,598","12,06,640"
Koriya,#N/A,"6,604","6,58,917"
Kota,Rajasthan,"5,217","19,51,014"
Kottayam,Kerala,"2,206","19,74,551"
Kozhikode,Kerala,"2,345","30,86,293"
Krishna,Andhra Pradesh,"8,727","45,17,398"
Krishnagiri,Tamil Nadu,"5,129","18,79,809"
Kulgam,Jammu and Kashmir,410,"4,24,483"
Kullu,Himachal Pradesh,"5,503","4,37,903"
Kupwara,Jammu and Kashmir,"2,379","8,70,354"
Kurnool,Andhra Pradesh,"17,658","40,53,463"
Kurukshetra,Haryana,"1,530","9,64,655"
Kurung Kumey,Arunachal Pradesh,"6,040","92,076"
Kushinagar,Uttar Pradesh,"2,905","35,64,544"
Lahul & Spiti,#N/A,"13,841","31,564"
Lakhimpur,Assam,"2,277","10,42,137"
Lakhisarai,Bihar,"1,228","10,00,912"
Lakshadweep,Lakshadweep,30,"64,473"
Lalitpur,Uttar Pradesh,"5,039","12,21,592"
Latehar,Jharkhand,"4,291","7,26,978"
Latur,Maharashtra,"7,157","24,54,196"
Lawngtlai,Mizoram,"2,557","1,17,894"
Leh,Jammu and Kashmir,"45,110","1,33,487"
Lohardaga,Jharkhand,"1,502","4,61,790"
Lohit,Arunachal Pradesh,"5,212","1,45,726"
Longleng,Nagaland,562,"50,484"
Lower Dibang Valley,Arunachal Pradesh,"3,900","54,080"
Lower Subansiri,Arunachal Pradesh,"3,508","83,030"
Lucknow,Uttar Pradesh,"2,528","45,89,838"
Ludhiana,Punjab,"3,578","34,98,739"
Lunglei,Mizoram,"4,536","1,61,428"
Madhepura,Bihar,"1,788","20,01,762"
Madhubani,Bihar,"3,501","44,87,379"
Madurai,Tamil Nadu,"3,710","30,38,252"
Mahamaya Nagar,Uttar Pradesh,"1,840","15,64,708"
Maharajganj,Uttar Pradesh,"2,952","26,84,703"
Mahasamund,Chhattisgarh,"4,790","10,32,754"
Mahbubnagar,Andhra Pradesh,"18,432","40,53,028"
Mahe,Puducherry,9,"41,816"
Mahendragarh,Haryana,"1,899","9,22,088"
Mahesana,Gujarat,"4,401","20,35,064"
Mahoba,Uttar Pradesh,"3,144","8,75,958"
Mainpuri,Uttar Pradesh,"2,760","18,68,529"
Malappuram,Kerala,"3,554","41,12,920"
Maldah,West Bengal,"3,733","39,88,845"
Malkangiri,Orissa,"5,791","6,13,192"
Mamit,Mizoram,"3,025","86,364"
Mandi,Himachal Pradesh,"3,950","9,99,777"
Mandla,Madhya Pradesh,"5,800","10,54,905"
Mandsaur,Madhya Pradesh,"5,535","13,40,411"
Mandya,Karnataka,"4,962","18,05,769"
Mansa,Punjab,"2,198","7,69,751"
Mathura,Uttar Pradesh,"3,340","25,47,184"
Mau,Uttar Pradesh,"1,713","22,05,968"
Mayurbhanj,Orissa,"10,418","25,19,738"
Medak,Andhra Pradesh,"9,699","30,33,288"
Meerut,Uttar Pradesh,"2,559","34,43,689"
Mewat,Haryana,"1,507","10,89,263"
Mirzapur,Uttar Pradesh,"4,405","24,96,970"
Moga,Punjab,"2,242","9,95,746"
Mokokchung,Nagaland,"1,615","1,94,622"
Mon,Nagaland,"1,786","2,50,260"
Moradabad,Uttar Pradesh,"3,718","47,72,006"
Morena,Madhya Pradesh,"4,989","19,65,970"
Morigaon,Assam,"1,551","9,57,423"
Muktsar,Punjab,"2,593","9,01,896"
Mumbai,#N/A,157,"30,85,411"
Mumbai Suburban,Maharashtra,446,"93,56,962"
Munger,Bihar,"1,419","13,67,765"
Murshidabad,West Bengal,"5,324","71,03,807"
Muzaffarnagar,Uttar Pradesh,"4,008","41,43,512"
Muzaffarpur,Bihar,"3,172","48,01,062"
Mysore,Karnataka,"6,307","30,01,127"
Nabarangapur,Orissa,"5,291","12,20,946"
Nadia,West Bengal,"3,927","51,67,600"
Nagaon,Assam,"3,973","28,23,768"
Nagapattinam,Tamil Nadu,"2,569","16,16,450"
Nagaur,Rajasthan,"17,718","33,07,743"
Nagpur,Maharashtra,"9,892","46,53,570"
Nainital,Uttarakhand,"4,251","9,54,605"
Nalanda,Bihar,"2,355","28,77,653"
Nalbari,Assam,"1,052","7,71,639"
Nalgonda,Andhra Pradesh,"14,240","34,88,809"
Namakkal,Tamil Nadu,"3,420","17,26,601"
Nanded,Maharashtra,"10,528","33,61,292"
Nandurbar,Maharashtra,"5,955","16,48,295"
Narayanpur,Chhattisgarh,"4,653","1,39,820"
Narmada,Gujarat,"2,817","5,90,297"
Narsimhapur,Madhya Pradesh,"5,133","10,91,854"
Nashik,Maharashtra,"15,530","61,07,187"
Navsari,Gujarat,"2,246","13,29,672"
Nawada,Bihar,"2,494","22,19,146"
Nayagarh,Orissa,"3,890","9,62,789"
Neemuch,Madhya Pradesh,"4,256","8,26,067"
New Delhi,Delhi,35,"1,42,004"
Nicobars,Andaman And Nicobar Islands,"1,841","36,842"
Nizamabad,Andhra Pradesh,"7,956","25,51,335"
North,#N/A,61,"8,87,978"
North & Middle Andaman,#N/A,"3,736","1,05,597"
North District,#N/A,"4,226","43,709"
North East,#N/A,62,"22,41,624"
North Goa,Goa,"1,736","8,18,008"
North Tripura,Tripura,"2,036","6,93,947"
North Twenty Four Parganas,West Bengal,"4,094","1,00,09,781"
North West,#N/A,443,"36,56,539"
Nuapada,Orissa,"3,852","6,10,382"
Osmanabad,Maharashtra,"7,569","16,57,576"
Pakur,Jharkhand,"1,811","9,00,422"
Palakkad,Kerala,"4,482","28,09,934"
Palamu,Jharkhand,"4,393","19,39,869"
Pali,Rajasthan,"12,387","20,37,573"
Palwal,Haryana,"1,359","10,42,708"
Panchkula,Haryana,898,"5,61,293"
Panchmahal,Gujarat,"5,231","23,90,776"
Panipat,Haryana,"1,268","12,05,437"
Panna,Madhya Pradesh,"7,135","10,16,520"
Papum Pare,#N/A,"3,462","1,76,573"
Parbhani,Maharashtra,"6,214","18,36,086"
Paschim Medinipur,West Bengal,"9,368","59,13,457"
Pashchim Champaran,Bihar,"5,228","39,35,042"
Pashchimi Singhbhum,Jharkhand,"7,224","15,02,338"
Patan,Gujarat,"5,792","13,43,734"
Pathanamthitta,Kerala,"2,652","11,97,412"
Patiala,Punjab,"3,325","18,95,686"
Patna,Bihar,"3,202","58,38,465"
Perambalur,Tamil Nadu,"1,756","5,65,223"
Peren,Nagaland,"1,651","95,219"
Phek,Nagaland,"2,026","1,63,418"
Pilibhit,Uttar Pradesh,"3,686","20,31,007"
Pithoragarh,Uttarakhand,"7,090","4,83,439"
Porbandar,Gujarat,"2,316","5,85,449"
Prakasam,Andhra Pradesh,"17,626","33,97,448"
Pratapgarh,Uttar Pradesh,"4,449","8,67,848"
Pratapgarh,Uttar Pradesh,"3,717","32,09,141"
Puducherry,Puducherry,294,"9,50,289"
Pudukkottai,Tamil Nadu,"4,644","16,18,345"
Pulwama,Jammu and Kashmir,"1,086","5,60,440"
Punch,Jammu and Kashmir,"1,674","4,76,835"
Pune,Maharashtra,"15,643","94,29,408"
Purba Champaran,#N/A,"3,968","50,99,371"
Purba Medinipur,West Bengal,"4,713","50,95,875"
Purbi Singhbhum,Jharkhand,"3,562","22,93,919"
Puri,Orissa,"3,479","16,98,730"
Purnia,Bihar,"3,229","32,64,619"
Puruliya,West Bengal,"6,259","29,30,115"
Rae Bareli,Uttar Pradesh,"4,609","34,05,559"
Raichur,Karnataka,"8,442","19,28,812"
Raigarh,Maharashtra,"7,086","14,93,984"
Raigarh,Maharashtra,"7,152","26,34,200"
Raipur,Chhattisgarh,"12,383","40,63,872"
Raisen,Madhya Pradesh,"8,466","13,31,597"
Rajgarh,Madhya Pradesh,"6,153","15,45,814"
Rajkot,Gujarat,"11,198","38,04,558"
Rajnandgaon,Chhattisgarh,"8,070","15,37,133"
Rajouri,Jammu and Kashmir,"2,630","6,42,415"
Rajsamand,Rajasthan,"4,655","11,56,597"
Ramanagara,Karnataka,"3,516","10,82,636"
Ramanathapuram,Tamil Nadu,"4,104","13,53,445"
Ramban,Jammu and Kashmir,"1,329","2,83,713"
Ramgarh,Jharkhand,"1,341","9,49,443"
Rampur,Uttar Pradesh,"2,367","23,35,819"
Ranchi,Jharkhand,"5,097","29,14,253"
Rangareddy,Andhra Pradesh,"7,493","52,96,741"
Ratlam,Madhya Pradesh,"4,861","14,55,069"
Ratnagiri,Maharashtra,"8,208","16,15,069"
Rayagada,Orissa,"7,073","9,67,911"
Reasi,Jammu and Kashmir,"1,719","3,14,667"
Rewa,Madhya Pradesh,"6,314","23,65,106"
Rewari,Haryana,"1,594","9,00,332"
Ribhoi,#N/A,"2,448","2,58,840"
Rohtak,Haryana,"1,745","10,61,204"
Rohtas,Bihar,"3,881","29,59,918"
Rudraprayag,Uttarakhand,"1,984","2,42,285"
Rupnagar,Punjab,"1,356","6,84,627"
Sabarkantha,Gujarat,"7,394","24,28,589"
Sagar,Madhya Pradesh,"10,252","23,78,458"
Saharanpur,Uttar Pradesh,"3,689","34,66,382"
Saharsa,Bihar,"1,687","19,00,661"
Sahibganj,Jharkhand,"2,063","11,50,567"
Sahibzada Ajit Singh Nagar,#N/A,"1,094","9,94,628"
Saiha,Mizoram,"1,399","56,574"
Salem,Tamil Nadu,"5,237","34,82,056"
Samastipur,Bihar,"2,904","42,61,566"
Samba,Jammu and Kashmir,904,"3,18,898"
Sambalpur,Orissa,"6,624","10,41,099"
Sangli,Maharashtra,"8,572","28,22,143"
Sangrur,Punjab,"3,625","16,55,169"
Sant Kabir Nagar,Uttar Pradesh,"1,646","17,15,183"
Sant Ravidas Nagar,Uttar Pradesh,"1,015","15,78,213"
Saraikela-Kharsawan,#N/A,"2,657","10,65,056"
Saran,Bihar,"2,641","39,51,862"
Satara,Maharashtra,"10,480","30,03,741"
Satna,Madhya Pradesh,"7,502","22,28,935"
Sawai Madhopur,Rajasthan,"4,498","13,35,551"
Sehore,Madhya Pradesh,"6,578","13,11,332"
Senapati,Manipur,"3,271","4,79,148"
Seoni,Madhya Pradesh,"8,758","13,79,131"
Serchhip,Mizoram,"1,421","64,937"
Shahdol,Madhya Pradesh,"6,205","10,66,063"
Shahid Bhagat Singh Nagar,Punjab,"1,282","6,12,310"
Shahjahanpur,Uttar Pradesh,"4,388","30,06,538"
Shajapur,Madhya Pradesh,"6,195","15,12,681"
Sheikhpura,Bihar,689,"6,36,342"
Sheohar,Bihar,349,"6,56,246"
Sheopur,Madhya Pradesh,"6,606","6,87,861"
Shimla,Himachal Pradesh,"5,131","8,14,010"
Shimoga,Karnataka,"8,478","17,52,753"
Shivpuri,Madhya Pradesh,"10,066","17,26,050"
Shrawasti,Uttar Pradesh,"1,640","11,17,361"
Shupiyan,Jammu and Kashmir,312,"2,66,215"
Siddharthnagar,#N/A,"2,895","25,59,297"
Sidhi,Madhya Pradesh,"4,851","11,27,033"
Sikar,Rajasthan,"7,732","26,77,333"
Simdega,Jharkhand,"3,774","5,99,578"
Sindhudurg,Maharashtra,"5,207","8,49,651"
Singrauli,Madhya Pradesh,"5,675","11,78,273"
Sirmaur,Himachal Pradesh,"2,825","5,29,855"
Sirohi,Rajasthan,"5,136","10,36,346"
Sirsa,Haryana,"4,277","12,95,189"
Sitamarhi,Bihar,"2,294","34,23,574"
Sitapur,Uttar Pradesh,"5,743","44,83,992"
Sivaganga,Tamil Nadu,"4,233","13,39,101"
Sivasagar,Assam,"2,668","11,51,050"
Siwan,Bihar,"2,219","33,30,464"
Solan,Himachal Pradesh,"1,936","5,80,320"
Solapur,Maharashtra,"14,895","43,17,756"
